นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
181,0123558000284,หจ.นอร์ทพลัส เดคคอร์เรท แอนด์ ดีไซน์,19/1/2558," 1,000,000 ",ประกอบกิจการขาย และบริการติดตั้งผ้าม่าน มูลี่ พรม วอลเปเปอร์ และสินค้าสำหรับตกแต่งภายใน,98/254 หมู่บ้านคาซ่าวิลล์ ราชพฤกษ์-แจ้งวัฒนะ หมู่ที่ 5 ถนนราชพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
182,0123558000331,หจ.เออีซี ซุปเปอร์,21/1/2558," 1,000,000 ",ประกอบกิตการจำหน่ายสินค้าอุปโภค บริโภคและเบ็ดเตล็ด เช่น ของใช้ประจำวัน ของใช้ในบ้าน,19/95 หมู่ที่ 2  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
183,0123558000501,หจ.แก้วชัยนิตย์ ขนส่ง,28/1/2558," 1,000,000 ",ประกอบกิจการขนส่ง รับส่งสินค้า ให้ตามห้างสรรพสินค้าและร้านค้าทั่วไป เช่น โลตัส บิ๊กซี ฯลฯ,56/48 หมู่ที่ 3  ต.คลองพระอุดม อ.ปากเกร็ด จ.นนทบุรี 11120
184,0123558000586,หจ.คิว สองศูนย์หนึ่งห้า,30/1/2558," 1,000,000 ",ประกอบกิจการรับเหมา รับออกแบบ ตกแต่งภายในและภายนอก,88/90 หมู่ที่ 2  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
185,0123558000616,หจ.กิจเจริญ การยาง,30/1/2558," 1,000,000 ",จำหน่ายยางรถยนต์และอะไหล่รถยนต์ทุกชนิด,77/24 หมู่ที่ 1 ถนนแจ้งวัฒนะ  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
186,0125558000014,บจ.เจนเนอรัล เน็ตเวิร์ก จำกัด,5/1/2558," 1,000,000 ",ประกอบกิจการให้บริการงานด้านไอทีแบบครบวงจร เช่น ติดตั้งโครงข่ายคอมพิวเตอร์เน็ตเวิร์ค,88/178 หมู่บ้านเดอะแพลนท์ เพรสทีจ หมู่ที่ 5  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
187,0125558000154,บจ.นกฮูก88 จำกัด,5/1/2558," 1,000,000 ",ให้บริหารการจัดการประเภทงานบันเทิงสาธารณะ การประชุมสัมมนา นิทรรศการ การแสดงสินค้า,42 หมู่ที่ 7  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
188,0125558000391,บจ.อะแคนธัช คลินิก จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการสถานพยาบาลโรคผิวหนังและโรคอื่นๆ,59/323/1 หมู่ที่ 3  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
189,0125558000472,บจ.โลคัล  เรสซิเด๊นส์ จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการให้เช่าอาคาร ที่พักสำนักงาน,91/72 หมู่ที่ 5  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
190,0125558000481,บจ.รีแมค (ไทยแลนด์) จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการค้า เครื่องมือสื่อสาร คอมพิวเตอร์ กล้องวงจรปิด,79/6 หมู่ที่ 1  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
191,0125558000499,บจ.โฟร์เอ็นเรส จำกัด,8/1/2558," 1,000,000 ",ผู้แทนจำหน่ายอุปกรณ์เกี่ยวกับ ระบบความปลอดภัย ระบบไฟฟ้า ระบบอาณัติสัญญาณ,47/33 หมู่บ้านศุภารมย์ หมู่ที่ 9  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
192,0125558000618,บจ.เบนนี่ เดคคอร์ จำกัด,9/1/2558," 1,000,000 ",จำหน่ายสินค้า วัสดุ อุปกรณ์ ตกแต่งทั้งภายในและภายนอกอาคารที่อาศัย,5/107 หมู่ที่ 5  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
193,0125558000642,บจ.ท็อป โซล่า เซลล์ ซิสเท็ม จำกัด,9/1/2558," 1,000,000 ",ประกอบธุรกิจรับเหมาด้านวิศวกรรม เช่นทางด้านไฟฟ้า,26/47 หมู่ที่ 12  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
194,0125558000731,บจ.ไอเชท กรุ๊ป จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการนำเข้าและส่งออกสินค้าผลิตภัณฑ์เสริมความงาม,88/10 หมู่บ้านลัดดารมย์ หมู่ที่ 5 ถนนชัยพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
195,0125558000847,บจ.สตีล แมททิเรียล ซัพพลาย จำกัด,9/1/2558," 1,000,000 ",การขายส่งเหล็ก เหล็กกล้า และโลหะที่นอกกลุ่ม,53/1180 หมู่ที่ 5  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
196,0125558000901,บจ.แฮมเบอร์เกอร์ จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการรับออกแบบ ตกแต่งภายในภายนอก ออกแบบโครงสร้างอาคารทุกประเภท,9/106 หมู่ที่ 4  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
197,0125558000910,บจ.เดอะ โบตานิค จำกัด,12/1/2558," 1,000,000 ",ให้เช่าห้องพัก รายวัน รายเดือน,37/13 หมู่ที่ 1  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
198,0125558000928,บจ.เทพศิลป์ไทย2558 จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการรับจ้างออกแบบ ตกแต่ง ดูแลรักษาต้นไม้ สนามหญ้า และสวน ให้บริการปรับพื้นที่,48/20 หมู่บ้านเพชรวัฒนะ หมู่ที่ 6  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
199,0125558000936,บจ.ก้าวหน้า อิมพอร์ต แอนด์ เอ็กซ์พอร์ต (ประเทศไทย) จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการนำเข้า ขายส่งสินค้าอุปโภค เครื่องใช้ไฟฟ้า อะไหล่ วัสดุ อุปกรณ์ก่อสร้าง,10/130 ถนนแจ้งวัฒนะ  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
200,0125558001011,บจ.ต้นแทน เซอร์วิส ออยล์ จำกัด,13/1/2558," 1,000,000 ",จำหน่ายน้ำมันเชื้อเพลิงและน้ำมันเครื่อง,53/1518 หมู่ที่ 5  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
201,0125558001037,บจ.เทรวี่ แลบบอราทอรี่ จำกัด,13/1/2558," 1,000,000 ",เป็นตัวแทน ขายอุปกรณ์ เครื่องจักร สำหรับไฟฟ้าพลังงาน,39/261 หมู่ที่ 3  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
202,0125558001100,บจ.เคมิลิงค์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,13/1/2558," 1,000,000 ",ประกอบกิจการด้านการโทรคมนาคม การสื่อสาร และให้บริการอินเทอร์เน็ต,46/64 หมู่ที่ 2 ถนนแจ้งวัฒนะ  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
203,0125558001151,บจ.คาน่าเมด พลัส จำกัด,14/1/2558," 1,000,000 ",ประกอบกิจการให้เช่าเครื่องมือแพทย์,90/358 หมู่ที่ 5  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
204,0125558001185,บจ.เอวา ออร์แกไนเซอร์ จำกัด,14/1/2558," 1,000,000 ",การจัดแสดงทางธุรกิจและการแสดงสินค้าการสาธิตและแสดงนิทรรศการ,99/30 หมู่บ้านคาซ่าวิลล์ ราชพฤกษ์-แจ้งวัฒนะ หมู่ที่ 4  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
205,0125558001215,บจ.เดวา เซอร์วิส จำกัด,14/1/2558," 1,000,000 ",ออกแบบ ตรวจสอบ แก้ไขให้คำปรึกษาและผลิต ระบบโปรแกรม ระบบไฟฟ้า เครื่องจักรและกระบวนการผลิต,72/4 หมู่ที่ 4  ต.คลองพระอุดม อ.ปากเกร็ด จ.นนทบุรี 11120
206,0125558001231,บจ.เจที เน็ตเวิร์ค โซลูชั่น จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาประมูลงาน ด้านไฟฟ้า ให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนราชการ และองค์กรของรัฐ,5/729 หมู่ที่ 10 ถนนสามัคคี  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
207,0125558001258,บจ.ดีเกจ แอสโซซิเอทส์ จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการผลิตเครื่องมือตัดเจาะ คอนกรีตและถนน แบบขับเคลื่อนด้วยมอเตอร์ไฟฟ้าหรือเครื่องยนต์,19/172 หมู่บ้านเดอะคอนเนค 19/1 หมู่ที่ 5 ถนนแจ้งวัฒนะ-ติวานนท์  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
208,0125558001266,บจ.เม้กส์ มี บาย ดอกเตอร์ แนนซี่ จำกัด,15/1/2558," 1,000,000 ",ค้าสินค้าอุปโภค บริโภค,123/8 หมู่ที่ 3  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
209,0125558001304,บจ.เอ็นพี แอนด์ พี เซอร์วิส 2515 จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการให้บริการบุคลากรทางด้านการแพทย์และพยาบาล,60/650 อาคารทวินทาวน์เวอร์ ชั้นที่ 10 หมู่ที่ 8 ถนนแจ้งวัฒนะ  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
210,0125558001312,บจ.วนาไซเอนซ์ จำกัด,15/1/2558," 1,000,000 ",การขายส่งเครื่องจักรและอุปกรณ์อื่นไซึ่งมิได้จัดประเภทไว้ในที่อื่น,80/19 หมู่ที่ 2 ถนนราชพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
211,0125558001401,บจ.ดับเบิ้ล เอ็น. กรุ๊ป จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการก่อสร้างอาคารที่พักอาศัย,89/230 หมู่ที่ 5  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
212,0125558001614,บจ.ไมนิชิ แมนูแฟคเจอริ่ง จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่าย ถุงมือ ถุงเท้า และอุปกรณ์สิ้นเปลืองในโรงงาน,89/663 หมู่ที่ 1  ต.บางตะไนย์ อ.ปากเกร็ด จ.นนทบุรี 11120
213,0125558001631,บจ.กรียุค เอ็นจิเนียริ่ง จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการค้า ผลิต จำหน่าย อุปกรณ์ไฟฟ้า รวมทั้งอะไหล่อุปกรณ์ไฟฟ้า,74/20 หมู่ที่ 5  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
214,0125558001703,บจ.สินสยามฟาร์มาซูติคอลซัพพลาย จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการค้า ผลิตยา อาหารเสริม เครื่องสำอางค์ เคมีภัณฑ์ เครื่องมือแพทย์ เภสัชภัณฑ์ เพื่อจำหน่ายใน,14/47 หมู่ที่ 5  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
215,0125558001711,บจ.บีจีที โลจิสติกส์ จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการขนส่งก๊าซธรรมชาติสำหรับยานพาหนะน้ำมันเชื้อเพลิงเหลววัตถุไวไฟ และวัตถุอันตราย,9/199 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
216,0125558001762,บจ.โกลบอล เทค เซอร์วิส แอนด์ เอ็นจิเนียริ่ง จำกัด,21/1/2558," 1,000,000 ",ประกอบกิจการค้า ให้คำปรึกษา ออกแบบและติดตั้งระบบไฟฟ้า ระบบโทรคมนาคม,15/362 (อาคาร ที5) เมืองทองธานี ชั้นที่ 6 ห้องเลขที่ 6/58 ถนนป๊อบปูล่า  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
217,0125558001827,บจ.เบเนฟิท แอนด์ บาลานซ์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายยาแผนปัจจุบัน สมุนไพรและเวชภัณฑ์,99/53 หมู่ที่ 8 ถนนประชาชื่น  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
218,0125558001843,บจ.ผณินทร จตุรภัทร จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการ ขายส่งวัสดุและอุปกรณ์สำนักงาน กระดาษ เครื่องเขียน,99/5 หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
219,0125558001983,บจ.ทีเอซี แอคเคาท์ติ้ง แอนด์ ลอว์ จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษาและบริการด้านบัญชี,63/211 หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
220,0125558002033,บจ.โรงน้ำแข็ง ทรัพย์พลอยสัมฤทธิ์ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการผลิตน้ำแข็งหลอด น้ำแข็งก้อน น้ำแข็งป่นและน้ำดื่ม,19/1 หมู่ที่ 1  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
221,0125558002041,บจ.พี ดับเบิ้ลยู เอ็กซ์เพรส จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการรับจ้างขนส่งสินค้าทุกประเภท พร้อมให้เช่ารถขนส่ง,14/55 หมู่ที่ 7  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
222,0125558002220,บจ.เอส.วี.พี.คอลเลคชั่น แอนด์ คอร์เปอร์เรท จำกัด,26/1/2558," 1,000,000 ",การบริการเร่งรัดหนี้สิน จัดเก็บหนี้ ประนอมหนี้ และเป็นตัวแทนดำเนินคดีตามกฏหมาย,123/130 หมู่ที่ 3 ถนนแจ้งวัฒนะ  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
223,0125558002289,บจ.ทุเรียนสยาม จำกัด,27/1/2558," 1,000,000 ",การนำเข้า ส่งออก แปรรูป บรรจุ รับซื้อและจำหน่ายผลบไม้ทุกชนิดตามฤดูกาล,64/121 หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
224,0125558002343,บจ.มันเดย์ มอร์นิ่ง จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,99/202 หมู่ที่ 2 ถนนชัยพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
225,0125558002530,บจ.เทคแคร์ คูล บาย ภู จำกัด,29/1/2558," 1,000,000 ",การค้าเครื่องปรับอากาศ อะไหล่ และอุปกรณ์เครื่องทำความเย็นทุกชนิด,87/13 หมู่บ้านบุราสิริ หมู่ที่ 2  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
226,0125558002564,บจ.ทวิพัชร์ 2558 จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร ที่พักอาศัย อาคารพาณิชย์ ก่อสร้างถนนสะพานและงานโยธา,39/32 หมู่ที่ 6  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
227,0125558002653,บจ.ยูนิคแกรม จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการออกแบบ พัฒนา และจัดทำโปรแกรมคอมพิวเตอร์,713/304 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
228,0125558002734,บจ.ซีเอสวี แอสเสท จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการจัดหาและพัฒนาที่ดิน อสังหาริมทรัพย์ และสังหาริมทรัพย์,99 อาคารซอฟต์แวร์ปาร์ค หมู่ที่ 4 ถนนแจ้งวัฒนะ  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
229,0125558002793,บจ.เออาร์ แอคเคาท์แทนซี่ จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการให้บริการรับทำบัญชี วางระบบบัญชี,90/732 หมู่ที่ 5  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
230,0125558002815,บจ.เซเว่นซิบ จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการค้า เครื่องดื่ม น้ำผลไม้ อารหารสำเร็จรูป,172/12 ถนนบอนด์สตรีท  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
231,0125558002866,บจ.เอเซีย เฮอร์เบิล ไบโอเทค ไพรเวท จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายอาหารเสริม,371 ชั้นที่ 6 ถนนบอนด์สตรีท  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
232,0123558000039,หจ.เอ แอนด์ เอ มินิ เทเลคอม,5/1/2558," 1,000,000 ",ประกอบกิจการงานสร้างขยายข่ายสาย และปรับปรุงเคเบิ้ลโทรศัพท์,72/1 หมู่ที่ 3  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
233,0123558000446,หจ.พรประเสริฐ โฆษณา,26/1/2558," 1,000,000 ",ประกอบกิจการรับออกแบบ โฆษณา ออร์แกรไซน์ รับพิมพ์และสิ่งพิมพ์ทุกชนิด,48/22 หมู่ที่ 7  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
234,0123558000462,หจ.เซฟตี้ ซัพพลาย,26/1/2558," 1,000,000 ",จำหน่ายอุปกรณ์เพื่อความปลอดภัยในการทำงานครบวงจร เช่นอุปกรณ์นิรภัย,111/14 หมู่ที่ 1  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
235,0125558000278,บจ.โซลิด เอ็นจิเนียริ่ง จำกัด,7/1/2558," 1,000,000 ",จำหน่ายเครื่องมือเครื่องจักร อะไหล่ เครื่องมือทดสอบ และอุปกรณ์สำหรับโรงงานอุตสาหกรรม,30/8 หมู่ที่ 3  ต.ปลายบาง อ.บางกรวย จ.นนทบุรี 11130
236,0125558000332,บจ.สวีท แอนด์ ซาวร์ สตูดิโอ จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการออกแบบห้องบันทึกเสียงระบบดิจิตอล ดำเนินการ เป็นที่ปรึกษาระบบ งานอีเว้นท์ เอ็กซิบิชั่น,5/32 หมู่ที่ 1  ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130
237,0125558000715,บจ.ยู-ลิซ่า จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการจำหน่าย เครื่องสำอาง อุปกรณ์เครื่องมือเครื่องใช้เสริมความงามและสุขภาพ,555/9 อาคารบี ศูนย์การค้าเดอะคริสตัลราชพฤกษ์ ชั้นที่ 2 ห้องเลขที่ 217 หมู่ที่ 1  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
238,0125558000880,บจ.ที เอ็น พี ธนภูมิ 2014 จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการ ซ่อมแซม บำรุงรักษา ทำสี รถยนต์ทุกชนิด,88/139 หมู่ที่ 7 ถนนกาญจนาภิเษก  ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11130
239,0125558001045,บจ.ไทชิ นิวเทค จำกัด,13/1/2558," 1,000,000 ","ประกบอกิจการส่งออก,นำเข้า,ผลิตและจำหน่ายอาหาร,ยารักษาโรค,เภสัชภัณฑ์,เกี่ยวข้องกับกับสัตว์ทุกชนิด",56/72 หมู่ที่ 7 ถนนบางกรวย-ไทรน้อย  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
240,0125558001223,บจ.เจ.แอล.เคอร์เทน แอนด์ ลอนดรี้ จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการ รับออกแบบ ตัดเย็บ และติดตั้งผ้าม่าน ฉากกั้นห้อง,29/22 หมู่ที่ 3  ต.ปลายบาง อ.บางกรวย จ.นนทบุรี 11130
241,0125558001363,บจ.รุ่งเจริญทวีทรัพย์ จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการจำหน่านสินค้าฮาร์ดแวร์ เครื่องมือช่างก่อสร้าง ทุกชนิด,98/14 หมู่ที่ 3 ถนนกาญจนาภิเษก  ต.ปลายบาง อ.บางกรวย จ.นนทบุรี 11130
242,0125558001665,บจ.ฮิเรียว จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการค้าสินค้าเบ็ดเตล็ดตามคำสั่งซื้อ และความต้องการของผู้ซื้อ,90/17 หมู่ที่ 4  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
243,0125558001797,บจ.ดี ลีกัลแอนด์แอดไวเซอร์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการบริการปรึกษาทางด้านกฎหมาย และรับว่าความในอรรถคดีทุกประเภท,124/46 หมู่ที่ 2  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
244,0125558001801,บจ.ดีไล้ท์ เลิร์นนิง จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจารค้ากระดาษ เครื่องเขียน แบบเรียน,16/28 หมู่ที่ 5  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
245,0125558001916,บจ.เมธายุต จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการรับติดตั้งระบบท่ออุตสากหกรรม,134/93 หมู่ที่ 1  ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130
246,0125558001991,บจ.เค ที มูฟวี่ โปรดั๊กชั่น จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการ ผลิตรายการทีวี สื่อทีวี,77/254 หมู่ที่ 3  ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130
247,0125558002084,บจ.อาร์ท เซอร์เคิล จำกัด,26/1/2558," 1,000,000 ",การจำหน่าย จัดหา ออกแบบ และให้เช่าระบบเครื่องเสียง ระบบแสง สเปเชี่ยลเอฟเฟค อุปกรณ์เครื่องดนตรี,95/75 หมู่บ้านอินนิซิโอ ปิ่นเกล้า-วงแหวน หมู่ที่ 1  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
248,0125558002173,บจ.ซีฟู๊ด ออลล์ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการบริการด้านอาหารและเครื่องดื่ม,169/5 หมู่ที่ 3  ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130
249,0125558002335,บจ.ทริปเปิล  เอสเค จำกัด,27/1/2558," 1,000,000 ",ประกอกบิจการค้าโทรศัพท์มือถือ คอมพิวเตอร์ เครื่องใช้ไฟฟ้า รวมทั้งอะไหล่และอุปกรณ์,111/48 หมู่บ้านเบญญาภา ถนนราชพฤกษ์  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
250,0125558002483,บจ.ไปรเวทสเกล จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับออกแบบตกแต่งภายใน และ รับเหมาก่อสร้าง,23/18 หมู่ที่ 1  ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130
251,0125558002513,บจ.มีลี่ คอนซัลแทนท์ จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจกรรมให้คำปรึกษาด้านการบริหารจัดการ,83/83 หมู่ที่ 3 ถนนบางกรวย-จงถนอม  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
252,0125558002548,บจ.พีโอพี แมเนจเม้นท์ จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พัก สถานที่ทำการ ถนนสะพาน อุโมงค์ เขื่อน,93/8 หมู่ที่ 9  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
253,0125558002602,บจ.พี.เค.ดีไซน์ 1972 จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง ซ่อมแซม ปรับปรุงต่อเติม ออกแบบ ตกแต่ง งานก่อสร้างทุกชนิด,20/102 หมู่ที่ 7  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
254,0125558002629,บจ.หิรัญ แอพพาเรล จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับจ้างตัดเย็บเสื้อผ้า เครื่องแต่งกาย รวมทั้งวัสดุแะลผลิตเกี่ยวกับเสื้อผ้า,93/1-2 หมู่ที่ 7  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
255,0125558002823,บจ.เอ็ม.พี.49 จำกัด,30/1/2558," 1,000,000 ",ผลิต จำหน่าย ติดตั้ง มุ้งลวด กระจก ประตู,54/72 หมู่ที่ 5  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
256,0125558002891,บจ.พดา คลีนนิ่ง จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจ การบริหารทำความสะอาด,42/313 หมู่ที่ 3  ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130
257,0123558000306,หจ.ยู.ที.เอช ซัพพลาย,19/1/2558," 1,000,000 ",ประกอบกิจการซื้อ-ขายอุปกรณ์วัสดุภัณฑ์เครื่องมือทางการแพทย์,71/511 หมู่ที่ 4  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
258,0123558000454,หจ.พัตเตอร์ เอฟซี,26/1/2558," 1,000,000 ",ประกอบกิจการให้บริการเช่าสนามฟุตบอล,41/45 หมู่ที่ 8  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
259,0125558000243,บจ.โมดิไฟด์  สตรัคเจอร์ จำกัด,7/1/2558," 1,000,000 ",ประกอบกิจการงานก่อสร้าง,61/492 หมู่ที่ 6 ถนนตลิ่งชัน-สุพรรณบุรี  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
260,0125558000341,บจ.เอสเอ็น เซอร์เฟส อินดัสเตรียล จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการค้า เครื่องจักรกลที่ใช้ในโรงงานอุตสาหกรรม รับจ้าง และจำหน่าย เครื่องขัดผิวโลหะ,60/136 หมู่ที่ 1  ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140
261,0125558000383,บจ.สมาร์ท วิชั่น (2014) จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการ นำเข้าและจำหน่าย เครื่องถ่ายเอกสาร,65/60 หมู่ที่ 12  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
262,0125558000421,บจ.นิวเจน โซลูชั่น จำกัด,8/1/2558," 1,000,000 ",จำหน่ายเครื่องมือเครื่องใช้ในการสื่อสารโทรคมนาคม,59/46 หมู่ที่ 4  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
263,0125558000511,บจ.เลิฟบอดี้คิท จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการค้าชิ้นส่วน และอุปกรณ์ประดับยนต์,58/8 หมู่ที่ 14  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
